brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price
MSI,Vector GP66 12UGS-267,15.66 Inches,Burgundy,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1159.7
Lenovo,IdeaPad,14 Inches,Grey,1 TB,Core i3 Family,20 GB,Windows 11 Home,Dolby,Integrated,,,4.3,1209.95
HP,HP Chromebook,14 Inches,Maroon,64 GB,Celeron N,4 GB,Chrome OS,,Integrated,Intel UHD Graphics 600,,3.8,918.09
Lenovo,Ideapad 3i,15.6 Inches,Arctic Grey,512 GB,Core i5,8 GB,Windows 11 Pro,Anti Glare Coating,Integrated,,,4.5,1029.85
Dell,Inspiron,15.6 Inches,Black,1 TB,Celeron N4020,16 GB,Windows 11 Home,Anti Glare Coating,Integrated,,,4.1,1053.79
acer,CP314-1H-P1Q5,14 Inches,Burgundy,128 GB,Pentium,8 GB,Chrome OS,,Integrated,Intel UHD Graphics,,4.3,1215.88
MSI,Katana 15 B13VGK-484US,15.6 Inches,,1 TB,Core i7,16 GB,Windows 11 Home,Anti Glare Coating,RTX 4070,NVIDIA GeForce RTX 4070,,4.3,1469.48
Lenovo,IdeaPad 3,14 Inches,Gray,128 GB,Core i3 Family,8 GB,Windows 11 S,"Dolby,Narrow Bezel",Integrated,,,4.5,886.58
ASUS,ASUS Vivobook Go 15,15.6 Inches,Star Black,64 GB,Celeron,4 GB,Windows 11 S,Thin-bezel,Integrated,,,4.1,777.57
HP,HP Laptop 15-ef2024nr,15 Inches,Maroon,256 GB,Ryzen 3,8 GB,Windows 11 Home,,Integrated,,,4.5,599.56
ROKC,,15.6 Inches,Red,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,708.13
HP,,15.6 Inches,Maroon,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,625.9
ROKC,Ideapad 3,15.6 Inches,Maroon,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,1016.66
ASUS,UX5304VA-XS76T,13.3 Inches,Gray,1 TB,Core i7,32 GB,Windows 11 Pro,Dolby,Integrated,,,4.3,1070.36
ASUS,ROG Strix G15,15.6 Inches,Eclipse Gray,1 TB,AMD Ryzen 7,16 GB,Windows 11 Home,Anti Glare Coating,Dedicated,,,4.6,1155.63
Lenovo,IdeaPad 3,15.6 Inches,Blue,64 GB,Celeron P4500,8 GB,Chrome OS,Narrow,Integrated,,,4.2,998.91
acer,"2023 Newest Acer 15.6"" Chromebook",15.6 Inches,Silver,64 GB,Celeron N4020,4 GB,Chrome OS,Anti-glare,Integrated,,,4.2,1090.81
ASUS,Chromebook C425 Clamshell,14 Inches,Silver,128 GB,Celeron N4020,4 GB,Chrome OS,"Anti-glare,Ultra-narrow Bezel",Integrated,,,4.3,794.83
Lenovo,Flex 5,14 Inches,Maroon,256 GB,AMD Ryzen 5 5500U,16 GB,Windows 11 Home,,Integrated,AMD Radeon R5,2.1 GHz,4.2,1153.38
acer,A115-32-C96U,15.6 Inches,Maroon,128 GB,Celeron N,4 GB,Windows 11 S,,Integrated,Intel UHD Graphics,,4.3,1276.85
ASUS,ROG Flow Z13,13.4 Inches,Black,1 TB,Core i9,16 GB,Windows 11 Home,Stylus,Dedicated,,,4.4,997.18
HP,HP,15.6 Inches,Maroon,1 TB,Core i3-1115G4E,16 GB,Windows 11 Home,,Integrated,Intel Iris Xe Graphics,,4.5,1030.54
ASUS,ROG Strix SCAR 16,16 Inches,Off Black,2 TB,Core i9,32 GB,Windows 11 Pro,Anti Glare Coating,Dedicated,,,4.1,937.07
ASUS,ROG Strix SCAR 18,18 Inches,Black,2 TB,Intel Core i9,32 GB,Windows 11 Pro,Anti Glare Coating,Dedicated,,,4.3,901.81
MSI,Stealth GS66 12UGS-025,15.6 Inches,Crimson,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,928.26
DELL,Inspiron,16 Inches,Maroon,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,929.35
ROKC,,14 Inches,Crimson,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,961.5
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,766.44
MSI,Vector GP66 12UGS-267,15.66 Inches,Scarlet,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1438.1
LG,17Z90Q-K.ADB9U1,17 Inches,Black,2 TB,Core i7,32 GB,Windows 11 Home,Lightweight,Intel XE,,,4.3,1203.86
ASUS,ROG Flow Z13,13.4 Inches,Crimson,1 TB,Core i9,32 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4070,,4.2,936.8
Lenovo,Chromebook,11.6 Inches,Black,32 GB,MediaTek MT8183,4 GB,Chrome OS,Anti-glare,Integrated,,,4.3,1492.02
Microsoft,Surface Laptop,15 Inches,Platinum,512 GB,Intel Core i7,16 GB,Windows 11 Home,"Backlit Keyboard, Support Stylus",Integrated,,,4.4,991.42
ASUS,TUF Dash 15 (2022),15.6 Inches,Off Black,512 GB,Core i7,16 GB,Windows 11 Home,Backlit Keyboard,RTX 3060,,,4.5,851.22
ASUS,TUF Gaming A15,15.6 Inches,Burgundy,1 TB,Ryzen 7,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4050,,4.3,1200.0
HP,14-dq0070nr,14 Inches,Pale rose gold,64 GB,Celeron N4020,4 GB,Windows 11 S,Micro-edge Bezel,Integrated,,,4.3,920.95
ASUS,ROG Strix Scar 17,17.3 Inches,Crimson,1 TB,Ryzen 9,32 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4080,,4.1,873.13
acer,A3SP14-31PT-37NV,14 Inches,Silver,128 GB,Core i3,8 GB,Windows 11 S,Pen,Integrated,,,4.5,1512.77
ROKC,,15.6 Inches,Red,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,962.85
HP,,15.6 Inches,Maroon,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1158.13
ROKC,Ideapad 3,15.6 Inches,Maroon,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,700.98
ASUS,ASUS TUF Gaming F1,17.3 Inches,Graphite Black,512 GB,Core i5,8 GB,Windows 11 Home,Numeric Keypad,RTX 3050,,,4.5,866.66
Lenovo,IdeaPad Flex 5i Chromebook,13.3 Inches,Abyss Blue,128 GB,Core i3,8 GB,Chrome OS,Anti Glare Coating,Integrated,,,4.4,680.06
HP,,15.6 Inches,Silver,1 TB,Intel Core i5,16 GB,Windows 11,Anti-glare,Integrated,Intel UHD Graphics,,0.0,861.9
Dell,Dell Latitude,14 Inches,Black,512 GB,Core i7-8650U,16 GB,Windows 10 Pro,TrackPoint,Integrated,,,4.0,796.32
HP,Chromebook 11 G9 EE,11.6 Inches,,,Celeron,4 GB,Chrome OS,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,2.6 GHz,5.0,866.65
MSI,Stealth GS66 12UGS-025,15.6 Inches,Crimson,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,772.72
DELL,Inspiron,16 Inches,Burgundy,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,877.84
ROKC,,14 Inches,Scarlet,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1296.5
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,791.25
MSI,Vector GP66 12UGS-267,15.66 Inches,Burgundy,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1114.08
acer,Swift Go 14,14 Inches,Silver,512 GB,Intel Core i7-1355U,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,,4.3,1111.94
ASUS,VivoBook S 15,15.6 Inches,Red,1 TB,Core i9,16 GB,Windows 11 Home,,Integrated,Intel Iris,,3.7,1106.51
Apple,MacBook Pro,16.2 Inches,Red,512 GB,ARM 7100,32 GB,macOS 12 Monterey,,Integrated,M1 Pro,,4.7,1243.19
acer,Aspire 5,15.6 Inches,Silver,256 GB,AMD Ryzen 5 5500U,8 GB,Windows 11,Backlit Keyboard,Integrated,,,0.0,884.8
Apple,"2022 Apple MacBook Air M2, 16GB RAM, 512GB Storage - Midnight (Z160000B1)",13.6 Inches,,512 GB,Apple M1,16 GB,macOS 12 Monterey,Fingerprint Reader,Integrated,Apple Integrated Graphics,,4.8,967.62
HP,,14 Inches,Red,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,944.9
SAMSUNG,NP754XFG-KB1US,15.6 Inches,Scarlet,16 GB,Core i7,16 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,4.8,1417.59
Microsoft,Surface Laptop Studio 2,14.4 Inches,Platinum,2 TB,Core i7-13700K,64 GB,Windows 11 Home,Portable,NVIDIAÂ® GeForce RTXâ¢ 4060,,,,1011.65
ASUS,Zenbook 15,15.6 Inches,Basalt Grey,1 TB,Ryzen 7,32 GB,Windows 11 Home,Dolby,Integrated,,,4.3,1474.6
ROKC,,15.6 Inches,Scarlet,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,997.73
HP,,15.6 Inches,Maroon,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,780.47
ROKC,Ideapad 3,15.6 Inches,Red,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,1582.1
SAMSUNG,Galaxy Book3 Pro,14 Inches,Maroon,,,,,,,,,4.4,763.56
Apple,MacBook Pro,13 Inches,Burgundy,256 GB,Apple M1,16 GB,macOS 12 Monterey,,Integrated,,3.4 GHz,4.7,1339.18
HP,HP 15 scarlet red,15.6 Inches,Red,1 TB,Celeron,16 GB,Windows 11 Home,,Integrated,Intel UHD Graphics,,4.3,785.91
Carlisle FoodService Products,ASUS VivoBook L203,11.6 Inches,Burgundy,64 GB,Celeron N4000,4 GB,Windows 10 S,,Integrated,Intel UHD Graphics 600,,4.2,618.75
Gigabyte,G5 KF-E3US333SH,15.6 Inches,Crimson,512 GB,Core i5,8 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.0,646.28
ASUS,Vivobook 15X,15.6 Inches,Maroon,1 TB,Ryzen 7,16 GB,Windows 11 Home,,Integrated,AMD Radeon Graphics,,5.0,869.15
acer,Chromebook Spin,11.6 Inches,Crimson,64 GB,Celeron N4000,4 GB,Chrome OS,,Integrated,intel,,4.5,1041.23
MSI,Stealth GS66 12UGS-025,15.6 Inches,Crimson,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,991.41
DELL,Inspiron,16 Inches,Red,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,1021.46
ROKC,,14 Inches,Burgundy,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1303.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1223.42
MSI,Vector GP66 12UGS-267,15.66 Inches,Crimson,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1056.86
ASUS,Zenbook Pro 14 Duo,14.5 Inches,Crimson,1 TB,Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.0,961.11
ASUS,ASUS Chromebook C203XA,11.6 Inches,Grey,32 GB,MediaTek_MT8127,4 GB,Chrome OS,Spill resistant,Integrated,,,4.3,1027.32
MSI,Stealth 17Studio A13VH-053US,17.3 Inches,,1 TB,Core i9,32 GB,Windows 11 Home,Anti Glare Coating,RTX 4080,NVIDIA GeForce RTX 4080,,4.2,722.31
Lenovo,Ideapad,15.6 Inches,Platinum Grey,256 GB,Intel Core i3,8 GB,Windows 11 Home,Anti Glare Coating,Intel UHD Graphics,,,4.3,983.7
MSI,MSI GF63,15.6 Inches,,512 GB,Core i5 Family,16 GB,Windows 10 Home,Backlit Keyboard,Dedicated,Nvidia,,4.1,917.23
Apple,"2022 Apple MacBook Air M2, 16GB RAM, 256GB Storage - Space Gray (Z15S000CT)",13.6 Inches,Maroon,256 GB,Apple M1,16 GB,macOS 12 Monterey,,Integrated,,3.4,5.0,1213.73
HP,EliteBook 840,14 Inches,Silver,256 GB,Core i5 6200U,16 GB,Windows 10 Pro,Anti Glare Coating,Integrated,,,4.0,923.43
ASUS,ProArt StudioBook 16,16 Inches,Red,1 TB,Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4070,5.6 GHz,3.7,780.4
ROKC,,15.6 Inches,Scarlet,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,968.76
HP,,15.6 Inches,Red,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1044.47
ROKC,Ideapad 3,15.6 Inches,Scarlet,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,813.75
SAMSUNG,Chromebook 4+,15.6 Inches,Maroon,64 GB,Celeron N3450,4 GB,Chrome OS,,Integrated,,1.1 GHz,4.4,1048.1
HP,"HP 14"" Chromebook",14 Inches,Dale Gray,128 GB,Core i3,8 GB,Chrome OS,High Quality,Integrated,,,3.9,1645.41
acer,Aspire 5,15.6 Inches,Silver,128 GB,Ryzen 3 3350U,4 GB,Windows 11,"Fingerprint Reader, Backlit Keyboard",Integrated,,,0.0,727.9
Razer,Razer Blade 14,14 Inches,Red,1 TB,Ryzen 9 7900X,16 GB,Windows 11 Home,,RTX 4070,NVIDIA GeForce RTX 4070,,4.3,1133.82
ASUS,VivoBook 15,15.6 Inches,Slate Gray,128 GB,Core i3-1005G1,8 GB,Windows 10 Home,"Backlit Keyboard,Fingerprint,Nanoedge Bezel",Integrated,,,4.5,1029.98
acer,PH16-71-74UU,16 Inches,Black,1 TB,Intel Core i7,16 GB,Windows 11 Home,"Backlit Keyboard, Memory Card Slot",Dedicated,,,4.5,1331.77
ASUS,ASUS ROG Zephyrus Duo 16,16 Inches,Black,1000 GB,Ryzen 7,16 GB,Windows 11 Home,Anti Glare Coating,RTX 3060,,,4.3,1300.06
ASUS,Vivobook Pro 15,15.6 Inches,Red,1 TB,Ryzen 9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.6,685.12
Dell,XPS9310-7321WHT-SUS,13.4 Inches,White,512 GB,Core i7 Family,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,,4.1,860.65
Dell,Dell G15 5520,15.6 Inches,Burgundy,512 GB,Core i7 Family,16 GB,Windows 11 Home,,Dedicated,,,4.2,527.44
ROKC,,14 Inches,Scarlet,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,829.97
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1227.76
MSI,Vector GP66 12UGS-267,15.66 Inches,Scarlet,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,845.15
ROKC,,14 Inches,Maroon,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,811.41
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1200.35
MSI,Vector GP66 12UGS-267,15.66 Inches,Maroon,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,866.52
ASUS,Vivobook 14,14 Inches,Crimson,256 GB,Core i5,8 GB,Windows 11 Home,,Integrated,Intel Iris,,4.4,709.41
HP,HP Chromebook,16 Inches,Chalkboard Gray,32 GB,AMD A Series,4 GB,Chrome OS,Backlit Keyboard,Dedicated,,,4.3,880.27
LG,17Z90R-A.ADB9U1,17 Inches,Maroon,2 TB,Intel Core i7,32 GB,Windows 11 Home,,Dedicated,NVIDIA RTX3050,,3.7,753.72
MSI,Stealth GS66 12UGS-025,15.6 Inches,Burgundy,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,1552.8
ASUS,Vivobook 16X,16 Inches,Indie Black,1 TB,Core i9,32 GB,Windows 11 Home,"Fingerprint Reader, HD Audio, Spill resistant, High Definition Audio, Anti Glare Coating","Integrated, Dedicated",,,3.5,1274.79
ASUS,VivoBook Pro 16,16 Inches,Crimson,1 TB,Core i9,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.0,1213.62
Dell,Latitude 5000,14 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Pro,"Anti-glare Screen, Water Resistant",Iris Xe Graphics,,,4.8,1163.51
ASUS,FX707ZC-ES53,17.3 Inches,Red,,Core i5,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3050,4.5 GHz,3.5,904.0
HP,HP 15,15.6 Inches,Silver,256 GB,Core i5,12 GB,Windows 11 S,"Touchscreen Laptop, Windows Laptop, i5 Laptop",Integrated,,,4.4,892.56
ROKC,,15.6 Inches,Scarlet,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,984.6
HP,,15.6 Inches,Scarlet,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,783.38
ROKC,Ideapad 3,15.6 Inches,Red,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,949.92
Microsoft,Surface Laptop Go 2,12.45 Inches,Platinum,256 GB,Intel Core i5,8 GB,Windows 11 Home,Fingerprint Reader,Integrated,,,4.4,694.24
HP,,14 Inches,Rose Gold,64 GB,Celeron N,8 GB,Windows 11,Anti Glare Coating,,Intel HD Graphics 600,1.1 GHz,0.0,959.54
Lenovo,"Lenovo 14"" Laptop",14 Inches,Blue,512 GB,Intel Core i7,16 GB,Windows 11,"Backlit Keyboard,Fingerprint Reader",Integrated,,,0.0,1114.68
Lenovo,L14,14 Inches,Scarlet,128 GB,Pentium,4 GB,Windows 11 S,,Integrated,Intel UHD Graphics 605,,4.0,1092.64
MSI,GF63 Thin,15.6 Inches,Black,256 GB,Unknown,8 GB,Windows 10,Anti Glare Coating,Dedicated,,,4.6,987.23
Apple,MacBook Pro,16 Inches,Space Gray,1 TB,Others,32 GB,Mac OS,Backlit Keyboard,Dedicated,,,3.0,1103.92
SAMSUNG,NP964XFG-KC1US,16 Inches,Burgundy,,Intel Core i7,32 GB,Windows 11 Pro,,Integrated,,2.2 GHz,4.0,897.47
ASUS,ASUS Chromebook CX1,15.6 Inches,Scarlet,64 GB,Celeron N3350,8 GB,Chrome OS,,Integrated,,2.4 GHz,4.1,916.92
MSI,Stealth GS66 12UGS-025,15.6 Inches,Red,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,926.91
DELL,Inspiron,16 Inches,Maroon,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,1089.9
ROKC,,14 Inches,Burgundy,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,917.53
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1204.51
MSI,Vector GP66 12UGS-267,15.66 Inches,Red,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,763.92
acer,CP513-1H-S338,13.3 Inches,Silver,64 GB,Snapdragon,8 GB,Chrome OS,Backlit Kb,Integrated,,,4.4,1248.1
Razer,Blade 16,16 Inches,Burgundy,1 TB,Intel Core i9,32 GB,Windows 11,,Dedicated,,,0.0,762.32
HP,HP ENVY,15 Inches,Maroon,1 TB,Ryzen 5,32 GB,Windows 11,,Integrated,AMD Radeon Graphics,,0.0,961.5
LG,16T90Q-K.AAG6U1,16 Inches,Green,512 GB,Core i5,16 GB,Windows 11 Home,Lightweight,Intel XE,,,4.2,839.63
HP,Pavilion x360,14 Inches,Natural Silver,256 GB,Core i5,8 GB,Windows 10 Home,Backlit Keyboard,Integrated,,,4.5,809.58
HP,HP Laptop 17-cn0025nr,17.3 Inches,Natural silver,256 GB,Intel Core i5-1135G7,8 GB,Windows 11 Home,"Anti Glare Coating, Memory Card Slot, Numeric Keypad",Integrated,,,4.5,988.39
Lenovo,ThinkPad X1 Carbon Gen 11 Laptop PC,14 Inches,Red,1 TB,Core i7 Family,32 GB,Windows 11 Pro,,Integrated,Intel Iris,,5.0,810.71
LG,16Z90RS-K.ADW8U1,16 Inches,Burgundy,1 TB,Intel Core i7,32 GB,Windows 11 Home,,Integrated,,5 GHz,4.3,714.93
HP,"HP 17.3""",17.3 Inches,,1 TB,Core i3,16 GB,Windows 11,Anti-glare,Integrated,Intel UHD Graphics,,0.0,1158.98
ROKC,,15.6 Inches,Maroon,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,564.33
HP,,15.6 Inches,Red,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,600.84
ROKC,Ideapad 3,15.6 Inches,Scarlet,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,1043.23
MSI,Vector GP77 13VG-096US,17.3 Inches,Burgundy,1 TB,Core i9,32 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4070,,,805.47
MSI,Katana 17 B13VFK-835US,17.3 Inches,Crimson,,Core i7,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,2.4 GHz,,472.08
Lenovo,Thinkpad T480,14 Inches,Black,256 GB,Core i5,16 GB,Windows 10 Pro,Fingerprint Reader,Integrated,,,4.1,1013.9
ASUS,ProArt StudioBook 16,16 Inches,Crimson,32 GB,Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,2.5,464.61
ASUS,Zenbook Pro 14 Duo,14.5 Inches,Red,1 TB,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4050,,4.1,1052.82
ASUS,VivoBook 16,16 Inches,Indie Black,512 GB,Ryzen 5,8 GB,Windows 11 Home,Fingerprint Sensor,Integrated,,,4.6,1269.69
